,Open,High,Low,Close,Volume
2007-02-20 15:00:00,26.24,26.34,26.14,26.29,9127200
2007-02-21 15:00:00,26.25,26.39,26.2,26.36,8645800
2007-02-22 15:00:00,26.36,26.84,26.32,26.81,13807400
2007-02-23 15:00:00,26.66,26.88,26.6,26.8,10022000
2007-02-26 15:00:00,26.82,27.33,26.74,27.24,15365876
2007-02-27 15:00:00,27.04,27.45,26.2,26.92,23861400
2007-02-28 15:00:00,26.78,27.53,26.62,27.31,23776400
2007-03-01 15:00:00,26.88,27.35,26.72,26.89,20045820
2007-03-02 15:00:00,26.76,26.82,26.29,26.5,15498800
2007-03-05 15:00:00,26.4,26.8,26.36,26.38,14773200
2007-03-06 15:00:00,26.38,26.54,26.18,26.44,19692400
2007-03-07 15:00:00,26.44,26.5,26.28,26.34,16168400
2007-03-08 15:00:00,26.34,26.78,26.19,26.7,15884800
2007-03-09 15:00:00,26.98,27.23,26.88,27.2,21014744
2007-03-12 14:00:00,27.22,27.25,27.12,27.19,12787396
2007-03-13 14:00:00,27.0,27.36,26.98,27.06,16426878
2007-03-14 14:00:00,27.1,27.14,26.74,26.88,15370800
2007-03-15 14:00:00,26.84,27.0,26.66,26.82,10041334
2007-03-16 14:00:00,26.72,26.75,26.4,26.44,19479200
2007-03-19 14:00:00,26.51,26.64,26.44,26.59,11810360
2007-03-20 14:00:00,26.62,27.24,26.52,27.24,16828294
2007-03-21 14:00:00,27.15,27.4,27.1,27.34,15976806
2007-03-22 14:00:00,27.34,27.46,27.0,27.25,13715972
2007-03-23 14:00:00,27.32,27.33,26.88,26.93,13617654
2007-03-26 14:00:00,27.54,28.63,27.52,28.62,45963098
2007-03-27 14:00:00,28.4,28.62,28.21,28.3,28493718
2007-03-28 14:00:00,28.12,28.26,27.76,27.88,15724704
2007-03-29 14:00:00,27.51,28.08,27.5,27.9,17200112
2007-03-30 14:00:00,27.75,28.04,27.7,27.9,11507600
2007-04-02 15:00:00,27.9,28.12,27.58,27.9,12542200
2007-04-03 15:00:00,28.0,28.37,27.99,28.34,14525400
